Year,Fastighetsprisindex Stor-Stockholm
1980,100
1981,93.28358209
1982,86.0306644
1983,79.78311387
1984,75.32281205
1985,74.19786096
1986,76.14852108
1987,90.0243309
1988,110.1398601
1989,122.4043716
1990,124.120603
1991,116.034719
1992,94.26585578
1993,76.34854772
1994,82.41534068
1995,81.97373657
1996,80.98591549
1997,91.51610369
1998,104.7100039
1999,120.2185792
2000,145.2427184
2001,157.0500573
2002,161.4583333
2003,160.5072464
2004,170.8633094
2005,183.1594099
2006,205.3006188
2007,230.5182274
2008,228.5014791
2009,226.9370216
2010,247.1730211
2011,245.6312265
2012,239.5382395
2013,249.3589744
2014,276.1809949
2015,315.0442478
2016,340.4336857
2017,354.3307087
2018,330.8424545
2019,326.2722182
2020,342.2270296
2021,399.5977402
2022,399.0757645
2023,318.0076628
2024,301.6426806
