Year,Fastighetsprisindex Hela Sverige
1980,100
1981,93.28358209
1982,86.0306644
1983,78.23392719
1984,75.32281205
1985,72.86096257
1986,72.37256136
1987,79.07542579
1988,89.74358974
1989,98.90710383
1990,102.0100503
1991,99.13202376
1992,85.57775847
1993,72.61410788
1994,74.66340269
1995,73.21925985
1996,72.37871674
1997,77.76904949
1998,84.46866485
1999,92.5058548
2000,102.1359223
2001,108.5212075
2002,112.3511905
2003,116.6666667
2004,126.9784173
2005,139.2587262
2006,154.1542974
2007,167.3625487
2008,166.9556938
2009,168.1885323
2010,179.4589546
2011,177.0374
2012,171.5568382
2013,177.5641026
2014,190.1152895
2015,211.1021722
2016,227.0622425
2017,242.519685
2018,238.7522868
2019,240.7475043
2020,253.2900667
2021,291.3425419
2022,293.5303514
2023,236.7816092
2024,225.3234482
